candidate_count,dataset,depth,method,mrr@10,ndcg@10,qrels_split,query_id,recall@100,seed,top1_doc_id
20,scifact,20,bm25_no_rerank,1.0,1.0,test,100,1.0,1,4381486
20,scifact,20,bm25_no_rerank,1.0,1.0,test,1062,1.0,1,20381484
20,scifact,20,bm25_no_rerank,0.0,0.0,test,1088,0.0,1,11915280
20,scifact,20,bm25_no_rerank,1.0,1.0,test,1089,1.0,1,17628888
20,scifact,20,bm25_no_rerank,0.3333333333333333,0.5,test,1099,1.0,1,21557614
20,scifact,20,bm25_no_rerank,0.1,0.2890648263178879,test,1179,1.0,1,10627801
20,scifact,20,bm25_no_rerank,0.0,0.0,test,1221,0.0,1,21479575
20,scifact,20,bm25_no_rerank,1.0,1.0,test,124,1.0,1,4883040
20,scifact,20,bm25_no_rerank,1.0,1.0,test,1271,1.0,1,13768432
20,scifact,20,bm25_no_rerank,0.0,0.0,test,1281,0.0,1,29214508
20,scifact,20,bm25_no_rerank,1.0,0.6984152163370878,test,179,0.75,1,16322674
20,scifact,20,bm25_no_rerank,1.0,1.0,test,218,1.0,1,21366394
20,scifact,20,bm25_no_rerank,0.5,0.6309297535714575,test,269,1.0,1,36838958
20,scifact,20,bm25_no_rerank,1.0,1.0,test,298,1.0,1,39381118
20,scifact,20,bm25_no_rerank,1.0,1.0,test,436,1.0,1,14637235
20,scifact,20,bm25_no_rerank,0.0,0.0,test,54,1.0,1,3973445
20,scifact,20,bm25_no_rerank,1.0,1.0,test,552,1.0,1,1471041
20,scifact,20,bm25_no_rerank,1.0,1.0,test,649,1.0,1,12789595
20,scifact,20,bm25_no_rerank,1.0,1.0,test,692,1.0,1,24088502
20,scifact,20,bm25_no_rerank,1.0,1.0,test,70,1.0,1,5956380
20,scifact,20,bm25_no_rerank,0.5,0.6309297535714575,test,729,1.0,1,18038250
20,scifact,20,bm25_no_rerank,1.0,1.0,test,770,1.0,1,15476777
20,scifact,20,bm25_no_rerank,0.3333333333333333,0.5,test,784,1.0,1,16999023
20,scifact,20,bm25_no_rerank,0.5,0.6309297535714575,test,957,1.0,1,13492264
20,scifact,20,fp32_reranker_cpu,1.0,1.0,test,100,1.0,1,4381486
